0	4680	СТУК

5380	5920	Да.

6420	7360	Это борода.

8020	11020	Я уже спрашивал вас в моем СИГРАМ Каналии.

11020	13900	Вы сказали океи, го, вот только так надо снимать.

14080	14800	А через просидю вас,

14840	16580	зрители новичевых, как вам моя борода.

16820	17840	Прошу вас и не ругать,

18260	19730	она молода, она стесняется.

19940	23100	Я очень неловко и очень неловко прямо сейчас.

24450	25460	И как видите,

25780	26960	у меня даже тримеры ты не был.

27060	27980	Я не был готов, бороде.

28540	30380	Вообще напишите, как моя борода, а я начинаю выпуск.

31520	33240	И у меня для вас вопрос,

33360	35240	кто из вас был в омске.

35340	37200	Даже если вы не были там не дня,

37280	39880	вы легко запомните с хему их не тро.

40460	40980	Вот она.

41480	43180	Библиотека имени пушкина.

43600	46020	Да, всего одна станция, и с нее никуда не уедешь,

46180	48020	и да не от куда не выберешься.

48140	50120	Затевнее побелечку не получится.

50360	50880	Ведь она

52320	52980	законсировирована в Москве.

53200	53980	Такой проблем и нет.

54120	57020	Здесь открывается до десяти станции каждый год.

57380	59880	Вот не поверите, но я, когда захожу в метро до сих пор,

59940	63200	ориентируюсь вот по этой схеме из 2010-го с одной кольцевой.

63340	65000	Хотя на самом деле метро выглядит вот так,

65220	66220	и это за 15 лет.

66520	67040	А вот так,

67040	69260	подземка должна выглядеть в 2000-м году.

69340	71060	Представьте целый отдел инженеров.

71420	71700	Сидит,

71880	74720	это сочиняет кулдабы и впихнуть очередную ветку.

75500	79560	Им нужны учить в плотность населения нагрузку на транспорте Особнительон шавта.

80300	82560	Сложная лагистическая задача,

83000	83420	с которой

84340	85920	справится даже...

85920	86020	Плеси.

86380	89400	Итак, в вашем вниманию физором много главой.

89460	90060	Слизивикой,

90060	92580	главная звезда, науч попо последних десят лет.

92960	93740	Это не растение.

94100	95860	Не животное и даже не гриб.

96400	98860	Он что-то вроде амёбы, который доказывает,

99340	100620	что чтобы быть умным.

101140	101800	Не нужен мозг.

102240	102720	Услизивика,

103020	103640	его тупанет.

104060	108520	Но он за сутки выспроязвял машуты всех железных дорог вокруг токе,

108600	109160	а только в думайтесь.

109380	110220	Аккуна-то сделал?

111240	112360	Просто хотел есть.

112740	115900	Слизивик любит овсянку и не любит солнечный свет.

116140	118080	Эти два факта учёны и использовали.

118420	119660	Они взяли карту токе.

119980	122140	В местах станции городов разложили офсянку,

122460	123800	а там где горы и озера,

124000	127100	через которые нельзя строить светили слизивику и ярким светом.

127480	128620	Уже через несколько часов,

128820	131380	в слизивик начал тянуть кейде своей цеплазменной тяже.

131940	132700	Постипенно.

133180	135480	Он заполнил все пространство виновсшего еду.

135980	139700	Вместе с питательными веществами внутреннего стало перетекать информация.

140180	143540	Совсем скоро из всех маршрутов остались только кратчайшие,

143900	145880	а остальные буквально растворились.

146300	147140	Карта готова.

147440	150600	Когда ее наложение на существующую сетху железных дорог в токе,

150680	153500	оказалось, что они почти полностью совпали.

153900	154300	То есть то,

154540	156140	что инженер, проектировали годами,

156640	158040	слизивик воспроязвивал засутки.

158940	159660	А как это возможно?

160860	161380	Дело в том,

161680	164180	что ты за у людей и амёб были похожими.

164540	166360	У инженеров задачи проложить линии,

166540	168120	затратив не ему материалов.

168620	172180	У слизивикат добраться до еды используя минимум своего тела.

172540	175040	Это как ночью дойти до холодильника не включаем мозг,

175440	177260	ведь у слизивика мозг и нет.

177820	179400	Пока мы думаем, физорум действует.

179960	183240	По такому же принципу он воспроязвивал железные дороги британи,

183500	186240	испани, португали и кучи других стран.

186580	188640	Его даже хотели использовать как архиолога.

188800	188900	Показывать,

189560	191320	если звику карту Ривской империи,

191460	194460	а он предсказывает, как могла бы выглядеть дорогами между городами.

194760	197600	В этих местах вы устраивает и раскопки и находите.

197920	200180	Тут самый дорогу, который предсказал слизивик.

200600	202020	Хоть в лаберинте его заточить,

202200	203460	он всё равно найдет из него выход.

203840	206540	Они слишком немного для одной амёпы переростка.

206840	208080	А кто вам сказал,

208280	209020	что она здесь одна?

209460	211540	Физорум неспростанно называют многоглавом.

212160	214660	Когда-то это ложится плесени,

215020	216700	состояла из миллионов отдельно хосабиль.

217140	218980	Эти белые точки, тупые амёбы,

219400	221280	которые бегают туда сюда пожарая субстрад.

221600	224880	Но когда еда заканчивается и наступает тяжелое времена,

225440	227380	они стекаются в единой организм.

227880	228600	Слизивика,

228880	230160	и вот он уже не так глуп,

230560	233720	строит маршруты и даже обладает подобие им памяти.

234120	237560	Думаете, слизивик, способен на интеллектуальный подвиги только радииды?

238720	239280	Ах, в шевинисты,

239600	240580	вы его не дается и не выйти.

241060	241800	Он способен ещё.

242140	242930	И ради размножения.

243160	243260	Поэтому,

243940	245860	когда он чувствует, что конец близок,

246240	249420	он отращивает на теле капсулы с потомством похожие на грибы.

249780	251460	Но трених единственные клетки,

251860	255620	которые выживут, они легкие и ветер унесёт их в другую часть леса.

255920	256400	Подальше,

256780	259060	одерьмо в ухусловии, в которых жил слезивик.

259200	259900	Теперь его дети,

260260	261060	тупые амёбы,

261400	263320	проживут лучшую жизнь, чем он сам.

263620	265940	А вот теперь самое время задаться вопросом.

267900	270360	Что вообще происходит?

270800	271480	Почему это веден,

271540	272800	называется рывой интеллект?

273040	274120	А вы, несколько минут,

274520	276760	слушайте, захватывающую историю про слезивик,

276940	277240	а?

277240	280000	Всё потому, что рывы мы интеллекта называют его поведение.

280980	287080	И для рывого интеллекта не нужен какой-либо мозг или какой-нибудь один единый центр принятия решений.

287500	287800	Не нужен.

288400	291280	Десятки тупых амёп слеваются в умного слезивика.

291440	294320	Тысячи муравьёв строит мастые плоты и собственных тел.

294520	296920	Термины возводят целые города в пустыне.

297140	299140	В тице летают сложенный стай,

299340	302240	а рыбы, к сиками вводят в супер крупных хищников,

302460	303560	чтобы технисъели.

304000	304900	Разные существа,

304900	309940	как транспорми, рассобираются вместе, чтобы выйти на качественно другой уровень жизни.

310560	313140	Да, друзья, на нашей планете в разных условиях

313140	315560	и в совершенно-разном масштабе миллионы

316140	317580	глупых организмов собираясь вместе,

318240	321500	обретают нечто напоминающая разум.

322140	322880	Разум, Рое.

325440	329300	Сейчас мы узнаете, для какой задачи не хватит всего времени на Земле.

329360	330800	Как заставить муравь я думать,

331020	333800	что он умер, а потом вернулся вставу света, что происходит,

334320	337420	когда алгоритмы с боят умиллионов на секомах сразу,

337460	339300	как в пустыне построить дом,

339520	341200	который будет охлаждать ещё сам себя,

341300	343440	как перевести на русский язык в чел.

343600	347100	Что они там нам говорят и как объясняют друг другу углы и расстояния?

347160	349360	Почему пчелом нельзя смотреть в зеркало?

349500	352660	Зачем кольмары во время охоты имитируют свецвёс?

352780	356240	Так бактерии в кишечнике выбирают хозяевом половых партнёров,

356360	362380	на что похож самое огромные в мире интеллик и как своими глазами увидеть и валютцию в бутылке.

362780	365400	Это будет очень интеллектуайный выпуск.

366160	367060	Садитесь по удобней.

385540	390440	ДИНАМИЧНАЯ МУЗЫКА

392800	393180	Где я?

395120	397440	И почему это странно, а дет,

398500	399460	персиски ковры,

399860	400440	интерьеры,

402140	402520	пуфле,

402940	403200	сузуки?

