3450	4200	Здравствуйте.

5480	5760	Да,

6420	7420	это борода.

8000	10740	Я уже спрашивал вас в моем телеграм-канале,

10980	13860	вы сказали, окей, го, вот только так надо снимать.

14020	14740	Хочу спросить у вас,

14800	16520	зрители на ютубе, как вам моя борода?

16700	17840	Прошу вас ее не ругать,

17980	20880	она молода, она стесняется, ей очень неловко,

21480	22860	ей очень неловко прямо сейчас.

23480	25360	И как видите,

25680	26880	у меня даже и триммера-то не было,

26940	28200	потому что я не был готов к бороде.

28340	30340	В общем, напишите, как моя борода, а я начинаю выпуск.

31480	33160	И у меня для вас вопрос.

33380	35000	Кто из вас был в Омске?

35240	36980	Даже если вы не были там ни дня,

37200	39860	вы легко запомните схему их метро.

40340	40840	Вот она,

41380	43160	библиотека имени Пушкина.

43320	45980	Да, всего одна станция, и с нее никуда не уедешь,

46100	47960	и до нее ниоткуда не доберешься.

48080	51560	Зайти в нее по билетику не получится, ведь она законсервирована.

52400	53940	В Москве такой проблемы нет,

54120	57020	здесь открывается до 10 станций каждый год.

57380	59180	Вот не поверите, но я, когда захожу в метро,

59260	62260	до сих пор ориентируюсь вот по этой схеме из 2010-го,

62340	63160	с одной кольцевой.

63340	65020	Хотя на самом деле метро выглядит вот так,

65160	66040	и это за 15 лет.

66420	69200	А вот так подземка должна выглядеть в 2100 году.

69320	72260	Представьте, целый отдел инженеров сидит и сочиняет,

72380	74720	куда бы им впихнуть очередную ветку.

75340	77200	Им нужно учитывать плотность населения,

77360	79600	нагрузку на транспорт и особенности ландшафта.

80220	82380	Сложная логистическая задача,

82900	86260	с которой справится даже плесень.

86500	89320	Итак, вашему вниманию, Физарум многоглавый.

89420	92560	Слизивикой главная звезда научпопа последних 10 лет.

92940	93720	Это не растение,

94060	95860	не животное и даже не гриб.

96040	97800	Он что-то вроде амебы,

97940	100040	которая доказывает, что чтобы быть умным,

101120	101880	не нужен мозг.

102080	103620	У Слизивика его тупо нет,

103860	108500	но он за сутки воспроизвел маршруты всех железных дорог вокруг Токио.

108600	110200	Только вдумайтесь, как он это сделал?

110860	112380	Просто хотел есть.

112800	115880	Слизивик любит овсянку и не любит солнечный свет.

116200	118020	Эти два факта ученые использовали.

118420	119640	Они взяли карту Токио,

119880	122040	в местах станции городов разложили овсянку,

122360	123740	а там, где горы и озера,

123980	125020	через которые нельзя строить,

125120	126960	светили Слизивику ярким светом.

127440	131380	Уже через несколько часов Слизивик начал тянуть к еде свои цитоплазменные тяжи.

132040	135420	Постепенно он заполнил все пространство и нашел еду.

136040	139680	Вместе с питательными веществами внутри него стала перетекать и информация.

140300	143460	Совсем скоро из всех маршрутов остались только кратчайшие,

143760	145900	а остальные буквально растворились.

146460	147160	Карта готова.

147480	150580	Когда ее наложили на существующую сетку железных дорог в Токио,

150680	153350	оказалось, что они почти полностью совпали.

153820	156120	То есть то, что инженеры проектировали годами,

156600	158080	Слизивик воспроизвел за сутки.

158680	159720	А как это возможно?

160860	164140	Дело в том, что ТЗ у людей и АМЕБ были похожими.

164440	168120	У инженеров задача проложить линии, затратив минимум материалов.

168480	170060	У Слизивика добраться до еды,

170240	172180	используя минимум своего тела.

172540	175040	Это как ночью дойти до холодильника, не включая мозг.

175360	177260	Ведь у Слизивика мозга нет.

177700	179380	Пока мы думаем, физарум действует.

179900	184040	По такому же принципу он воспроизвел железные дороги в Британии, Испании,

184420	186140	Португалии и куче других стран.

186540	188100	Его даже хотели использовать как археолога.

189100	191240	Показывайте Слизивику карту Римской империи,

191380	194400	а он предсказывает, как могла бы выглядеть дорога между городами.

194680	198680	В этих местах вы устраиваете раскопки и находите ту самую дорогу,

198860	200200	которую предсказал Слизивик.

200580	201980	Хоть в лабиринте его заточите,

202020	203420	он все равно найдет из него выход.

203840	206700	А не слишком ли много для одной АМЕБа переростка?

206800	207360	А кто вам сказал,

208260	209000	что она здесь одна?

209440	211540	Физарум неспроста называют многоглавым.

212160	216740	Когда-то эта лужица плесени состояла из миллионов отдельных особей.

217140	217820	Эти белые точки

218300	219000	тупые АМЕБы,

219400	220380	которые бегают туда-сюда,

220520	221220	пожирая субстрат.

221520	224780	Но когда еда заканчивается и наступают тяжелые времена,

225340	227400	они стекаются в единый организм

227780	228460	Слизивика.

228800	230160	И вот он уже не так глуп.

230700	233700	Встроит маршруты и даже обладает подобием памяти.

233940	234200	Думаете,

234260	237460	Слизивик способен на интеллектуальные подвиги только ради еды?

238700	240500	Ах вы шовинисты, вы его недооцениваете.

241040	242620	Он способен еще и ради разножения.

242680	245860	Поэтому, когда он чувствует, что конец близок,

246180	249360	он отращивает на теле капсулы с потомством, похожие на грибы.

249720	251380	Внутри них единственные клетки,

251440	252540	которые выживут.

252760	253400	Они легкие,

253620	255600	и ветер унесет их в другую часть леса,

255820	257680	подальше от дерьмовых условий,

257800	259060	в которых жил Слизивик.

259200	263060	Теперь его дети, тупые АМЕБы, проживут лучшую жизнь, чем он сам.

263560	265960	А вот теперь самое время задаться вопросом.

268120	270240	Что вообще происходит?

270820	272760	Почему это видео называется РАЕВОЙ ИНТЕЛЛЕКТ,

273020	274120	а вы, несколько минут,

274440	276700	слушаете захватывающую историю про Слизивика?

277180	279980	Все потому, что РАЕВЫМ ИНТЕЛЛЕКТОМ называют его поведение.

280920	285100	И для РАЕВОГО ИНТЕЛЛЕКТА не нужен какой-либо мозг или какой-нибудь один,

285420	287020	единый центр принятия решения.

287440	287820	Не нужен.

288160	291220	Десятки тупых АМЕБ сливаются в умного Слизивика.

291500	294100	Тысячи муравьев строят мосты и плоты из собственных тел.

294500	296960	Термиты возводят целые города в пустынях.

297140	299000	Птицы летают в слаженный стай.

299140	302220	А рыбы косяками вводят в ступор крупных хищников,

302380	303460	чтобы те их не съели.

304200	305720	Разные существа, как трансформеры,

306180	309940	собираются вместе, чтобы выйти на качественно другой уровень жизни.

310320	310480	Да,

310800	317560	друзья, на нашей планете в разных условиях и в совершенно разном масштабе миллионы глупых организмов, собираясь вместе,

318160	321460	обретают нечто напоминающее разум.

322380	322900	Разум РОЯ.

325060	329300	Сейчас вы узнаете, для какой задачи не хватит всего времени на Земле.

329380	330720	Как заставить муравья думать,

330860	332940	что он умер, а потом вернулся с того света.

333140	337360	Что происходит, когда алгоритмы сбоят у миллионов насекомых сразу.

337480	339240	Как в пустыне построить дом,

339500	341120	который будет охлаждать еще сам себя.

341280	343380	Как перевести на русский язык пчел.

343560	347040	Что они там нам говорят и как объясняют друг другу углы и расстояния.

347160	349340	Почему пчелам нельзя смотреть в зеркало.

349500	352600	Зачем кальмары во время охоты имитируют свет звезд.

352760	355680	Как бактерии в кишечнике выбирают хозяевам половых

355920	356020	партнеров.

356300	358700	На что похож самый огромный в мире интеллект.

358780	362380	И как своими глазами увидеть эволюцию в бутылке.

362800	365400	Это будет очень интеллектуальный выпуск.

366120	367060	Садитесь поудобнее.

391920	393160	Где я?

395100	395720	И почему я так

396420	397440	странно одет?

398480	399340	Персидские ковры,

399760	400420	интерьеры,

402060	403200	суфли Сузуки.

405240	406400	Задумывались вы когда-нибудь,

406580	408640	как сложно было арендовать подобное жилье,

408680	410220	допустим, 150 лет назад?

410740	413820	Для начала нужно было купить газету.

416600	419980	Вот шестикомнатная квартира с водопроводом повара Малакеем.

